COMPANY NAME,URL,UPVOTES,VOTES(FOR RATING),RATING,EXP ID 
Amazon Interview Experience | Set 355 (For 1 Year Experienced),https://www.geeksforgeeks.org/amazon-interview-experience-set-355-1-year-experienced/,1,7,2.1,355
Adobe Interview Experience | Set 23 (1 Year Experienced),https://www.geeksforgeeks.org/adobe-interview-experience-set-23-1-year-experienced/,5,3,3,23
Adobe Interview Experience | Set 45 (For 2.5Years Experienced),https://www.geeksforgeeks.org/adobe-interview-experience-set-45-2-5years-experienced/,2,10,3.7,45
Adobe Interview Experience | Set 53 (For MTS-2),https://www.geeksforgeeks.org/adobe-interview-experience-set-53-mts-2/,1,7,3.2,53
Amazon Interview Experience | Set 245 (For 2.5 Years Experienced),https://www.geeksforgeeks.org/amazon-interview-experience-set-245-for-2-5-years/,0,9,3.33333,245
Amazon Interview Experience | Set 271 (Off-campus SDE-1),https://www.geeksforgeeks.org/amazon-interview-experience-set-271-off-campus-sde-1/,0,1,3,271
Amazon Interview Experience | Set 339 (For SDE 2),https://www.geeksforgeeks.org/amazon-interview-experience-set-339-sde-2/,0,4,4.2,339
Amazon Interview Experience | Set 431 (For SDE2),https://www.geeksforgeeks.org/amazon-interview-experience-set-431-sde2/,0,4,2.7,431
Cisco Interview experience | Set 21 (Off-Campus),https://www.geeksforgeeks.org/cisco-interview-experience-set-21-off-campus/,0,1,3,21
D E Shaw Interview Experience | Set 17 (Arcesium for 1 Yr & 8 Months Experienced),https://www.geeksforgeeks.org/d-e-shaw-interview-experience-set-17-1-yr-8-months-experienced/,0,3,3,17
Eze Software Interview Experience | Set 1,https://www.geeksforgeeks.org/eze-software-interview-experience-set-1-2/,0,1,3,1

Goldman Sachs Interview Experience| Set 14  (1+ Years Experienced),https://www.geeksforgeeks.org/goldman-sachs-interview-experience-set-14-1-years-experienced/,0,1,2,14
Paytm Interview Experience | Set 12 (For 1.5 Years Experienced),https://www.geeksforgeeks.org/paytm-interview-experience-set-12-1-5-years-experienced/,0,6,4,12
PayTm Interview Experience | Set 23 (For 2 Years Experienced),https://www.geeksforgeeks.org/paytm-interview-experience-set-23-2-years-experienced/,1,1,4,23
Jabong Interview Experience | Set 2 (For SDE II),https://www.geeksforgeeks.org/jabong-interview-experience-set-2-sde-ii/,0,2,2.5,2
Microsoft Interview Experience | Set 137 (For Software Engineer II),https://www.geeksforgeeks.org/microsoft-interview-experience-set-137-software-engineer-ii/,0,5,3.6,137
Oyo Rooms Interview Experience | Set 12 (4+ experience Backend Developer),https://www.geeksforgeeks.org/oyorooms-interview-experience-set-12-4-experience-backend-developer/,0,4,3.7,12
Qualcomm Interview Experience | Set 8 (Experienced),https://www.geeksforgeeks.org/qualcomm-interview-experience-set-8-experienced/,0,3,3.6,8
Zoho Interview Experience | Set 22 (Experienced),https://www.geeksforgeeks.org/zoho-interview-experience-set-22-experienced/,0,6,3.6,22
